"date","close","volume","open","high","low"
"16:00","119.21","102,013,978","119.62","120.53","118.57"
"2020/11/11","119.4900","112295000.0000","117.1900","119.6300","116.4400"
"2020/11/10","115.9700","138023400.0000","115.5500","117.5900","114.1300"
"2020/11/09","116.3200","154515300.0000","120.5000","121.9900","116.0500"
"2020/11/06","118.6900","114457900.0000","118.3200","119.2000","116.1300"
"2020/11/05","119.0300","126387100.0000","117.9500","119.6200","116.8686"
"2020/11/04","114.9500","138235500.0000","114.1400","115.5900","112.3500"
"2020/11/03","110.4400","107624400.0000","109.6600","111.4900","108.7300"
"2020/11/02","108.7700","122866900.0000","109.1100","110.6800","107.3200"
"2020/10/30","108.8600","190573500.0000","111.0600","111.9900","107.7200"
"2020/10/29","115.3200","146129200.0000","112.3700","116.9300","112.2000"
"2020/10/28","111.2000","143937800.0000","115.0500","115.4300","111.1000"
"2020/10/27","116.6000","92276770.0000","115.4900","117.2800","114.5399"
"2020/10/26","115.0500","111850700.0000","114.0100","116.5500","112.8800"
"2020/10/23","115.0400","82572650.0000","116.3900","116.5500","114.2800"
"2020/10/22","115.7500","101988000.0000","117.4500","118.0400","114.5900"
"2020/10/21","116.8700","89945980.0000","116.6700","118.7050","116.4500"
"2020/10/20","117.5100","124423700.0000","116.2000","118.9800","115.6300"
"2020/10/19","115.9800","120639300.0000","119.9600","120.4190","115.6600"
"2020/10/16","119.0200","115393800.0000","121.2800","121.5480","118.8100"
"2020/10/15","120.7100","112559200.0000","118.7200","121.2000","118.1500"
"2020/10/14","121.1900","151062300.0000","121.0000","123.0300","119.6200"
"2020/10/13","121.1000","262330500.0000","125.2700","125.3900","119.6500"
"2020/10/12","124.4000","240226800.0000","120.0600","125.1800","119.2845"
"2020/10/09","116.9700","100506900.0000","115.2800","117.0000","114.9200"
"2020/10/08","114.9700","83477150.0000","116.2500","116.4000","114.5901"
"2020/10/07","115.0800","96848990.0000","114.6200","115.5500","114.1300"
"2020/10/06","113.1600","161498200.0000","115.7000","116.1200","112.2500"
"2020/10/05","116.5000","106243800.0000","113.9100","116.6500","113.5500"
"2020/10/02","113.0200","144712000.0000","112.8900","115.3700","112.2200"
"2020/10/01","116.7900","116120400.0000","117.6400","117.7200","115.8300"
"2020/09/30","115.8100","142675200.0000","113.7900","117.2600","113.6200"
"2020/09/29","114.0900","100060500.0000","114.5500","115.3100","113.5700"
"2020/09/28","114.9600","137672400.0000","115.0100","115.3200","112.7800"
