"date","close","volume","open","high","low"
"15:41","220.30","2,183,460","215.645","220.96","215.41"
"2020/11/12","214.5100","3009267.0000","215.2200","216.8600","212.4000"
"2020/11/11","218.0500","2680710.0000","218.6400","219.9200","215.0300"
"2020/11/10","217.4700","4166465.0000","215.2500","218.3800","211.1800"
"2020/11/09","214.9300","6960521.0000","214.4900","218.0000","209.3700"
"2020/11/06","201.2600","2475115.0000","204.3400","204.3900","200.4200"
"2020/11/05","202.9600","2892815.0000","199.6500","204.1200","199.0600"
"2020/11/04","197.8700","3868514.0000","196.2500","200.8200","194.9000"
"2020/11/03","197.9300","4545470.0000","193.9400","199.0000","193.2200"
"2020/11/02","190.2000","2459562.0000","192.0000","192.7000","188.2300"
"2020/10/30","189.0400","3661181.0000","189.5100","190.4000","185.5200"
"2020/10/29","189.9400","3581156.0000","189.8000","192.3500","186.9000"
"2020/10/28","189.7700","4214584.0000","191.3100","193.3650","188.9400"
"2020/10/27","195.6800","3430420.0000","200.0000","200.5900","195.4100"
"2020/10/26","201.1400","3249695.0000","202.4900","202.8100","198.5100"
"2020/10/23","205.0400","2110153.0000","206.7600","208.2100","204.0200"
"2020/10/22","205.4000","2137823.0000","203.2000","206.3650","202.2000"
"2020/10/21","202.9100","3083593.0000","207.3900","207.9500","202.0100"
"2020/10/20","208.0300","3336684.0000","206.7000","211.3800","206.4650"
"2020/10/19","205.6900","3235296.0000","207.3900","207.9100","204.5900"
"2020/10/16","206.2100","3246646.0000","208.3200","209.9950","205.8100"
"2020/10/15","208.6000","4334014.0000","209.5800","210.7300","206.9000"
"2020/10/14","211.2300","7557023.0000","213.8800","214.4500","210.2700"
"2020/10/13","210.8100","3317312.0000","214.0100","214.1100","209.1800"
"2020/10/12","214.1200","3474215.0000","207.4100","214.8900","207.4100"
"2020/10/09","207.5400","3040923.0000","208.7600","209.8100","206.0700"
"2020/10/08","207.9800","2330609.0000","205.1500","208.1600","204.1100"
"2020/10/07","203.6000","2326917.0000","203.9000","205.0000","201.1700"
"2020/10/06","201.0900","2833119.0000","204.2500","206.0900","199.9000"
"2020/10/05","201.8000","2551633.0000","201.9300","202.8400","199.5900"
"2020/10/02","199.9000","2541588.0000","195.3400","200.6999","195.2900"
"2020/10/01","198.5500","2288651.0000","201.5300","203.1300","197.8738"
"2020/09/30","200.9700","3075829.0000","198.6800","203.0800","198.3600"
"2020/09/29","196.7900","2401523.0000","198.1600","198.7700","195.4300"
"2020/09/28","199.0700","3280138.0000","197.7800","201.8650","197.1500"
"2020/09/25","194.9500","3105989.0000","192.9600","195.3900","189.6085"
"2020/09/24","195.1100","5114566.0000","188.9800","197.4594","187.0500"
"2020/09/23","186.1200","3116142.0000","192.0000","192.9150","185.8650"
"2020/09/22","191.6200","3355768.0000","194.0000","196.1400","188.4300"
"2020/09/21","194.0000","4871299.0000","189.9000","194.1700","187.4700"
"2020/09/18","194.8600","9066647.0000","195.0100","196.6500","192.3848"
"2020/09/17","194.8300","4274772.0000","198.2100","199.8900","194.5100"
"2020/09/16","200.6800","3571873.0000","198.4900","203.8000","198.0700"
"2020/09/15","198.0000","3717632.0000","202.0000","202.5850","197.9800"
"2020/09/14","201.3400","2756891.0000","203.3000","203.3000","200.6700"
"2020/09/11","200.9200","2376385.0000","200.2400","201.9100","198.9500"
"2020/09/10","200.0100","2510274.0000","203.7300","205.3500","199.5500"
"2020/09/09","202.2200","4681380.0000","204.1900","204.8300","202.0300"
"2020/09/08","202.4800","4574748.0000","209.5100","209.9600","201.2700"
"2020/09/04","210.9400","3668891.0000","210.8900","213.3500","205.3200"
"2020/09/03","207.5600","3533485.0000","211.7500","215.2300","205.8300"
"2020/09/02","210.0400","3565242.0000","205.7900","210.9300","205.3700"
"2020/09/01","205.4600","2458801.0000","203.6000","206.7100","203.0100"
"2020/08/31","204.8700","3046152.0000","205.5000","206.4100","203.6300"
"2020/08/28","207.7100","3697406.0000","211.8900","212.0000","207.0900"
"2020/08/27","210.1500","3692411.0000","206.6800","213.0000","206.4100"
"2020/08/26","207.2200","2563236.0000","205.8900","207.2800","205.0300"
"2020/08/25","206.0000","2627906.0000","209.9900","210.4900","205.1700"
"2020/08/24","207.3400","3097432.0000","203.1100","207.4300","201.3200"
"2020/08/21","202.4300","1781141.0000","200.1100","203.3500","199.8200"
"2020/08/20","201.8500","1764214.0000","200.7600","203.2800","200.3400"
"2020/08/19","203.0200","2458524.0000","202.4000","206.1000","201.7700"
"2020/08/18","201.3100","3067854.0000","203.4500","203.5800","201.1000"
"2020/08/17","203.0700","3922588.0000","207.0000","207.8500","202.5300"
"2020/08/14","207.9700","2287572.0000","207.4600","209.4800","206.6100"
"2020/08/13","208.3900","2219859.0000","210.4100","212.2000","207.6900"
"2020/08/12","212.1300","2439593.0000","214.7000","215.9500","209.2700"
"2020/08/11","211.0600","4042742.0000","212.7200","216.9500","210.5300"
"2020/08/10","209.3800","2432770.0000","209.5900","210.6400","208.0400"
"2020/08/07","208.2700","3074961.0000","203.4800","208.8000","202.4500"
"2020/08/06","204.2500","1882367.0000","205.0000","206.2900","203.8300"
"2020/08/05","204.5200","2323194.0000","203.1700","204.8075","203.0100"
"2020/08/04","201.6400","1944676.0000","199.3500","201.7200","198.4750"
"2020/08/03","199.3900","2295652.0000","198.4900","199.8800","196.5300"
"2020/07/31","197.9600","2401074.0000","199.8400","199.8400","196.5100"
"2020/07/30","199.5300","3057922.0000","199.5000","199.9900","196.3000"
"2020/07/29","202.5800","2634961.0000","201.7000","203.8900","199.6200"
"2020/07/28","201.6200","2139771.0000","201.9100","203.6000","201.0900"
"2020/07/27","203.0200","2601182.0000","200.1000","204.1800","199.5900"
"2020/07/24","201.4700","3191549.0000","203.0000","204.9300","201.3200"
"2020/07/23","203.0200","4088636.0000","205.1000","206.0221","202.0500"
"2020/07/22","206.0000","4978425.0000","210.5000","211.0000","205.3500"
"2020/07/21","212.0200","3394178.0000","212.2500","213.8100","210.3900"
"2020/07/20","211.7100","2268726.0000","210.7300","213.1650","210.2500"
"2020/07/17","211.4100","3618027.0000","214.9000","215.1700","211.2500"
"2020/07/16","214.6700","5769606.0000","213.5100","220.4550","213.5000"
"2020/07/15","216.9000","12516720.0000","224.3700","225.2399","214.6900"
"2020/07/14","214.0100","5201950.0000","211.4300","214.3000","207.0100"
"2020/07/13","208.8800","4449599.0000","209.0000","212.9800","207.0000"
"2020/07/10","205.5600","4414807.0000","196.8700","206.3199","196.8300"
"2020/07/09","196.8300","3160116.0000","202.1100","202.5000","195.0000"
"2020/07/08","202.2500","2789713.0000","199.5400","203.2500","199.0200"
"2020/07/07","199.3600","2853484.0000","205.5000","205.7100","199.1900"
"2020/07/06","207.3600","3567664.0000","201.3350","207.7896","201.1300"
"2020/07/02","197.4000","2699373.0000","202.5000","203.0000","197.1300"
"2020/07/01","197.5700","2620147.0000","198.8800","199.7400","195.5200"
"2020/06/30","197.6200","3102760.0000","193.8400","198.4100","193.6200"
"2020/06/29","193.4700","3735957.0000","191.3800","193.9000","188.6600"
"2020/06/26","189.1900","9530651.0000","199.0000","200.2441","188.5075"
"2020/06/25","207.1000","3466472.0000","197.8600","207.3900","197.6100"
"2020/06/24","198.0200","2756726.0000","202.3400","202.6100","197.3801"
"2020/06/23","204.7800","2451825.0000","206.5000","207.5100","203.6400"
"2020/06/22","203.4200","1806868.0000","200.9900","204.5800","200.0000"
"2020/06/19","201.6300","4962438.0000","207.0500","207.4228","200.9700"
"2020/06/18","203.8400","2051659.0000","203.9900","207.2600","202.6700"
"2020/06/17","206.1900","1798324.0000","210.0000","210.7900","205.4400"
"2020/06/16","209.5900","3103691.0000","214.9800","214.9800","203.7300"
"2020/06/15","206.3100","3468788.0000","195.7300","206.9932","195.1500"
"2020/06/12","201.7800","3380817.0000","200.6200","202.9400","196.2100"
"2020/06/11","194.1300","4923410.0000","204.7000","206.9000","194.0200"
"2020/06/10","213.5200","3091188.0000","217.3900","219.8499","212.8000"
"2020/06/09","218.1000","2478365.0000","215.7400","220.0200","215.1600"
"2020/06/08","220.8100","3260307.0000","220.0200","222.2646","218.2400"
"2020/06/05","217.9200","4737626.0000","222.0000","222.9800","217.6600"
"2020/06/04","214.8200","3522252.0000","208.7900","214.9900","207.9600"
"2020/06/03","210.5700","3471886.0000","208.4900","211.9300","206.4300"
"2020/06/02","204.1400","4128686.0000","203.7700","206.5000","201.3200"
"2020/06/01","199.9300","2235963.0000","197.3100","201.7700","195.1200"
"2020/05/29","196.4900","3824488.0000","197.2300","200.9200","194.6500"
"2020/05/28","201.2200","4890687.0000","210.8400","211.3100","201.2100"
"2020/05/27","209.6600","8182053.0000","203.0000","210.7100","200.0100"
"2020/05/26","196.0600","5971201.0000","185.6300","197.1000","185.2200"
"2020/05/22","179.9300","2176407.0000","180.0300","180.6400","178.0600"
"2020/05/21","180.1000","2153769.0000","180.2000","181.1700","177.6800"
"2020/05/20","181.4400","2599855.0000","180.9500","183.8300","180.3000"
"2020/05/19","177.8300","2210480.0000","180.5600","182.1850","177.7200"
"2020/05/18","181.8800","4512571.0000","177.7100","183.1000","175.2400"
"2020/05/15","171.8700","2867769.0000","173.4800","174.0900","170.5800"
"2020/05/14","174.4500","4176657.0000","169.0400","174.7800","165.3600"
"2020/05/13","171.8000","3445251.0000","175.6600","176.8800","170.7600"
"2020/05/12","177.2100","3549190.0000","183.8900","184.3000","176.7500"
"2020/05/11","183.1600","2212324.0000","182.5400","184.8500","181.2600"
