"date","close","volume","open","high","low"
"12:43","43.56","4,276,185","43.23","44.15","43.1974"
"2020/11/11","43.6300","11060760.0000","42.9700","43.7300","42.8600"
"2020/11/10","42.4100","14129210.0000","43.3600","43.9700","41.6100"
"2020/11/09","43.1900","21244730.0000","43.9600","45.1800","43.1100"
"2020/11/06","43.1200","17096930.0000","43.5100","44.1900","42.8200"
"2020/11/05","43.7100","19693610.0000","43.5100","44.0380","42.4800"
"2020/11/04","42.7600","34716980.0000","42.2300","42.9300","40.8100"
"2020/11/03","41.7300","33813060.0000","40.0300","42.1176","40.0300"
"2020/11/02","39.4700","47323490.0000","41.1500","41.6000","38.9300"
"2020/10/30","41.3600","86425060.0000","44.5300","45.1800","40.8300"
"2020/10/29","52.4300","55935580.0000","51.9500","52.9300","50.5700"
"2020/10/28","48.5300","20168090.0000","49.6000","50.0000","48.2515"
"2020/10/27","51.2700","19306240.0000","49.5000","51.5100","49.1400"
"2020/10/26","49.0000","22803980.0000","50.0000","50.6500","48.3950"
"2020/10/23","50.4400","14897670.0000","50.2000","50.5000","48.9417"
"2020/10/22","50.2800","18289010.0000","50.0000","50.3401","48.1100"
"2020/10/21","50.2400","30719660.0000","48.9700","50.5250","48.8500"
"2020/10/20","46.3500","9508428.0000","45.5500","46.7800","45.4600"
"2020/10/19","45.8200","9870727.0000","46.0500","46.3000","45.2448"
"2020/10/16","45.8100","13009820.0000","46.3600","46.4500","45.0530"
"2020/10/15","46.0300","19823810.0000","45.0600","46.0850","44.3000"
"2020/10/14","45.9800","14455030.0000","47.4900","47.7000","45.6199"
"2020/10/13","47.0000","9805899.0000","48.2800","48.3200","46.9900"
"2020/10/12","48.2500","24162400.0000","47.6100","48.6500","47.4100"
"2020/10/09","45.9000","8285392.0000","46.4000","46.4073","45.6600"
"2020/10/08","46.0100","11355530.0000","46.4400","46.6200","45.7800"
"2020/10/07","45.8700","19407740.0000","46.0700","46.4000","45.7400"
"2020/10/06","45.6000","15666550.0000","47.2700","47.8700","45.0300"
"2020/10/05","47.3100","11202370.0000","46.4600","47.4950","46.1200"
"2020/10/02","46.1200","13496810.0000","45.5400","46.8850","45.4300"
"2020/10/01","46.7000","18687020.0000","45.0700","46.7200","44.9800"
"2020/09/30","44.5000","12923380.0000","44.6200","45.0900","43.9500"
"2020/09/29","44.7400","13593290.0000","44.3500","45.5100","44.2900"
"2020/09/28","44.1500","11672240.0000","44.4000","44.4200","43.6100"
"2020/09/25","43.8400","15456560.0000","43.2100","44.0200","42.5900"
"2020/09/24","43.1400","27772770.0000","44.6900","45.0700","42.6600"
"2020/09/23","45.3300","64803820.0000","43.8800","46.8199","43.7000"
"2020/09/22","42.7300","22379010.0000","40.3700","42.8300","40.2700"
"2020/09/21","39.9000","13789980.0000","39.4300","40.2000","39.2150"
"2020/09/18","40.1500","19492980.0000","39.3600","40.2450","38.9300"
"2020/09/17","39.3500","12753000.0000","38.8500","39.5350","38.6050"
"2020/09/16","39.6000","18896610.0000","39.3900","40.9000","39.1900"
"2020/09/15","39.0900","14105000.0000","39.1900","39.3000","38.2250"
"2020/09/14","38.7700","9418354.0000","39.4100","39.5880","38.5500"
"2020/09/11","38.9300","9885508.0000","39.2400","39.4900","38.5101"
"2020/09/10","38.9500","10412330.0000","39.7900","40.4000","38.8200"
"2020/09/09","39.5600","10744000.0000","38.8500","39.8100","38.3300"
"2020/09/08","38.1900","16117250.0000","38.5200","39.1800","38.1000"
"2020/09/04","39.8700","17824990.0000","41.2000","41.4900","38.4301"
"2020/09/03","41.6300","18760840.0000","42.7400","43.0000","40.9600"
"2020/09/02","43.6700","26800040.0000","41.5200","44.0900","41.3600"
"2020/09/01","41.1500","10478790.0000","40.6100","41.2450","40.1400"
"2020/08/31","40.5800","7468349.0000","40.9900","41.0700","40.5650"
