date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
16:00,"102,013,978",119.62,119.62,"",119.62,"",119.21,119.21,"",119.21,"",118.57,118.57,"",118.57,"",120.53,120.53,"",120.53,""
2015/11/11,180717600.0000,29.0925,-90.5275,"",29.0925,"",29.0275,-90.1825,-75.6501,29.0275,"",28.8025,-89.7675,-75.7084,28.8025,"",29.3550,-91.175,-75.6451,29.355,""
2015/11/12,129845400.0000,29.0650,-0.0275,"",29.065,"",28.9300,-0.0975,-0.3359,28.93,"",28.9125,0.11,0.3819,28.9125,"",29.2050,-0.15,-0.511,29.205,""
2015/11/13,182221200.0000,28.8000,-0.265,"",28.8,"",28.0850,-0.845,-2.9208,28.085,"",28.0675,-0.845,-2.9226,28.0675,"",28.8925,-0.3125,-1.07,28.8925,""
2015/11/16,151918280.0000,27.8450,-0.955,"",27.845,"",28.5437,0.4587,1.6333,28.5437,"",27.7500,-0.3175,-1.1312,27.75,"",28.5600,-0.3325,-1.1508,28.56,""
2015/11/17,110336080.0000,28.7300,0.885,3.1783,-90.89,-75.9823,28.4225,-0.1212,-0.4246,-90.7875,-76.1576,28.3300,0.58,2.0901,-90.24,-76.1069,28.7625,0.2025,0.709,-91.7675,-76.1366
2015/11/18,186238920.0000,28.9400,0.21,0.7309,-0.1525,-0.5242,29.3225,0.9,3.1665,0.295,1.0163,28.8750,0.545,1.9238,0.0725,0.2517,29.3725,0.61,2.1208,0.0175,0.0596
2015/11/19,172935800.0000,29.4100,0.47,1.624,0.345,1.187,29.6950,0.3725,1.2704,0.765,2.6443,29.1900,0.315,1.0909,0.2775,0.9598,29.9375,0.565,1.9236,0.7325,2.5081
2015/11/20,136540920.0000,29.8000,0.39,1.3261,1.0,3.4722,29.8250,0.13,0.4378,1.74,6.1955,29.7125,0.5225,1.79,1.645,5.8609,29.9800,0.0425,0.142,1.0875,3.764
2015/11/23,129782720.0000,29.8175,0.0175,0.0587,1.9725,7.0839,29.4375,-0.3875,-1.2992,0.8938,3.1313,29.3350,-0.3775,-1.2705,1.585,5.7117,29.9325,-0.0475,-0.1584,1.3725,4.8057
