date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
15:41,"2,183,460",215.645,215.645,"",215.645,"",220.30,220.3,"",220.3,"",215.41,215.41,"",215.41,"",220.96,220.96,"",220.96,""
2015/11/12,3156408.0000,196.1900,-19.455,"",196.19,"",192.7700,-27.53,-12.4966,192.77,"",192.2600,-23.15,-10.7469,192.26,"",196.1900,-24.77,-11.2102,196.19,""
2015/11/13,2473675.0000,192.6300,-3.56,"",192.63,"",190.3900,-2.38,-1.2346,190.39,"",190.0600,-2.2,-1.1443,190.06,"",193.3800,-2.81,-1.4323,193.38,""
2015/11/16,4620119.0000,189.9900,-2.64,"",189.99,"",192.1600,1.77,0.9297,192.16,"",188.0100,-2.05,-1.0786,188.01,"",192.1600,-1.22,-0.6309,192.16,""
2015/11/17,1775674.0000,192.6700,2.68,"",192.67,"",190.5700,-1.59,-0.8274,190.57,"",190.3200,2.31,1.2287,190.32,"",193.0000,0.84,0.4371,193.0,""
2015/11/18,2507473.0000,191.0500,-1.62,-0.8408,-24.595,-11.4053,193.6600,3.09,1.6215,-26.64,-12.0926,191.0100,0.69,0.3625,-24.4,-11.3272,194.0500,1.05,0.544,-26.91,-12.1787
2015/11/19,1833040.0000,193.8200,2.77,1.4499,-2.37,-1.208,193.0300,-0.63,-0.3253,0.26,0.1349,191.6700,0.66,0.3455,-0.59,-0.3069,194.2100,0.16,0.0825,-1.98,-1.0092
2015/11/20,2929198.0000,193.0000,-0.82,-0.4231,0.37,0.1921,191.4700,-1.56,-0.8082,1.08,0.5673,191.1100,-0.56,-0.2922,1.05,0.5525,193.4900,-0.72,-0.3707,0.11,0.0569
2015/11/23,2671611.0000,191.3000,-1.7,-0.8808,1.31,0.6895,189.1900,-2.28,-1.1908,-2.97,-1.5456,188.5200,-2.59,-1.3552,0.51,0.2713,191.4900,-2.0,-1.0336,-0.67,-0.3487
2015/11/24,2675114.0000,188.0200,-3.28,-1.7146,-4.65,-2.4135,188.6700,-0.52,-0.2749,-1.9,-0.997,186.5600,-1.96,-1.0397,-3.76,-1.9756,189.7950,-1.695,-0.8852,-3.205,-1.6606
