date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
16:00,"4,359,517","3,158","","","","","3,110.28","","","","","3,086.05","","","","","3,175.88","","","",""
2015/11/11,5378403.0000,663.2500,"","",663.25,"",673.2500,"","",673.25,"",663.2500,"","",663.25,"",675.9600,"","",675.96,""
2015/11/12,4267454.0000,673.0000,9.75,"",673.0,"",665.6000,-7.65,-1.1363,665.6,"",664.2200,0.97,0.1462,664.22,"",675.6400,-0.32,-0.0473,675.64,""
2015/11/13,6242100.0000,663.5700,-9.43,"",663.57,"",642.3500,-23.25,-3.4931,642.35,"",640.4500,-23.77,-3.5786,640.45,"",667.0000,-8.64,-1.2788,667.0,""
2015/11/16,7425083.0000,640.9200,-22.65,"",640.92,"",647.8100,5.46,0.85,647.81,"",622.2900,-18.16,-2.8355,622.29,"",649.9900,-17.01,-2.5502,649.99,""
2015/11/17,4317848.0000,650.6500,9.73,1.5181,"","",643.3000,-4.51,-0.6962,"","",641.0000,18.71,3.0066,"","",653.2500,3.26,0.5015,"",""
2015/11/18,4414554.0000,646.5100,-4.14,-0.6363,-16.74,-2.5239,663.5400,20.24,3.1463,-9.71,-1.4423,646.3700,5.37,0.8378,-16.88,-2.545,664.8800,11.63,1.7803,-11.08,-1.6392
2015/11/19,4702856.0000,664.9900,18.48,2.8584,-8.01,-1.1902,661.2700,-2.27,-0.3421,-4.33,-0.6505,659.0000,12.63,1.954,-5.22,-0.7859,672.8600,7.98,1.2002,-2.78,-0.4115
2015/11/20,3872690.0000,667.9400,2.95,0.4436,4.37,0.6586,668.4500,7.18,1.0858,26.1,4.0632,657.5700,-1.43,-0.217,17.12,2.6731,668.8700,-3.99,-0.593,1.87,0.2804
2015/11/23,4377862.0000,671.5000,3.56,0.533,30.58,4.7713,678.9900,10.54,1.5768,31.18,4.8131,668.4500,10.88,1.6546,46.16,7.4178,682.7700,13.9,2.0781,32.78,5.0432
