date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
16:00,"17,236,021",416.54,416.54,"",416.54,"",417.13,417.13,"",417.13,"",410.58,410.58,"",410.58,"",418.695,418.695,"",418.695,""
2015/11/10,23062040.0000,44.6960,-371.844,"",44.696,"",43.3000,-373.83,-89.6195,43.3,"",43.2160,-367.364,-89.4744,43.216,"",44.7400,-373.955,-89.3144,44.74,""
2015/11/11,16687505.0000,43.5540,-1.142,"",43.554,"",43.8160,0.516,1.1917,43.816,"",42.7260,-0.49,-1.1338,42.726,"",43.8960,-0.844,-1.8865,43.896,""
2015/11/12,14567555.0000,43.5700,0.016,"",43.57,"",42.5880,-1.228,-2.8026,42.588,"",42.5320,-0.194,-0.4541,42.532,"",43.8000,-0.096,-0.2187,43.8,""
2015/11/13,17115695.0000,42.5900,-0.98,"",42.59,"",41.4380,-1.15,-2.7003,41.438,"",41.3040,-1.228,-2.8872,41.304,"",42.5980,-1.202,-2.7443,42.598,""
2015/11/16,14601810.0000,41.2180,-1.372,-3.2214,-375.322,-90.1047,42.8620,1.424,3.4365,-374.268,-89.7245,41.1600,-0.144,-0.3486,-369.42,-89.9752,42.9960,0.398,0.9343,-375.699,-89.7309
2015/11/17,10741630.0000,43.0400,1.822,4.4204,-1.656,-3.705,42.8000,-0.062,-0.1447,-0.5,-1.1547,42.2800,1.12,2.7211,-0.936,-2.1659,43.2000,0.204,0.4745,-1.54,-3.4421
2015/11/18,14051000.0000,42.9000,-0.14,-0.3253,-0.654,-1.5016,44.2140,1.414,3.3037,0.398,0.9083,42.5040,0.224,0.5298,-0.222,-0.5196,44.2760,1.076,2.4907,0.38,0.8657
2015/11/19,12497965.0000,44.1080,1.208,2.8159,0.538,1.2348,44.3600,0.146,0.3302,1.772,4.1608,44.0600,1.556,3.6608,1.528,3.5926,45.2380,0.962,2.1727,1.438,3.2831
2015/11/20,21970995.0000,44.6980,0.59,1.3376,2.108,4.9495,44.0020,-0.358,-0.807,2.564,6.1876,42.7160,-1.344,-3.0504,1.412,3.4186,45.0000,-0.238,-0.5261,2.402,5.6388
2015/11/23,12625980.0000,43.4700,-1.228,-2.7473,2.252,5.4636,43.5500,-0.452,-1.0272,0.688,1.6052,42.9360,0.22,0.515,1.776,4.3149,43.8360,-1.164,-2.5867,0.84,1.9537
2015/11/24,12391945.0000,43.0740,-0.396,-0.911,0.034,0.079,43.6500,0.1,0.2296,0.85,1.986,43.0000,0.064,0.1491,0.72,1.7029,44.2000,0.364,0.8304,1.0,2.3148
2015/11/25,19934725.0000,44.2680,1.194,2.772,1.368,3.1888,45.9280,2.278,5.2188,1.714,3.8766,44.0750,1.075,2.5,1.571,3.6961,46.1650,1.965,4.4457,1.889,4.2664
2015/11/27,9746765.0000,46.2120,1.944,4.3914,2.104,4.7701,46.3220,0.394,0.8579,1.962,4.4229,45.4020,1.327,3.0108,1.342,3.0458,46.4500,0.285,0.6174,1.212,2.6792
2015/11/30,12956025.0000,46.3580,0.146,0.3159,1.66,3.7138,46.0520,-0.27,-0.5829,2.05,4.6589,45.8160,0.414,0.9119,3.1,7.2572,46.8560,0.406,0.8741,1.856,4.1244
2015/12/01,18642810.0000,46.2120,-0.146,-0.3149,2.742,6.3078,47.4380,1.386,3.0096,3.888,8.9277,46.2100,0.394,0.86,3.274,7.6253,47.6000,0.744,1.5878,3.764,8.5865
2015/12/02,14903220.0000,47.4000,1.188,2.5708,4.326,10.0432,46.3980,-1.04,-2.1923,2.748,6.2955,46.2460,0.036,0.0779,3.246,7.5488,47.7200,0.12,0.2521,3.52,7.9638
2015/12/03,14686165.0000,47.0960,-0.304,-0.6414,2.828,6.3884,46.5420,0.144,0.3104,0.614,1.3369,46.0000,-0.246,-0.5319,1.925,4.3676,47.4900,-0.23,-0.482,1.325,2.8701
2015/12/04,12860070.0000,46.4920,-0.604,-1.2825,0.28,0.6059,46.0760,-0.466,-1.0012,-0.246,-0.5311,45.5320,-0.468,-1.0174,0.13,0.2863,46.6540,-0.836,-1.7604,0.204,0.4392
2015/12/07,15704320.0000,45.5400,-0.952,-2.0477,-0.818,-1.7645,46.2260,0.15,0.3255,0.174,0.3778,45.2300,-0.302,-0.6633,-0.586,-1.279,47.1260,0.472,1.0117,0.27,0.5762
2015/12/08,13411295.0000,45.5040,-0.036,-0.0791,-0.708,-1.5321,45.3440,-0.882,-1.908,-2.094,-4.4142,44.8400,-0.39,-0.8623,-1.37,-2.9647,45.7600,-1.366,-2.8986,-1.84,-3.8655
2015/12/09,15285180.0000,45.3400,-0.164,-0.3604,-2.06,-4.346,44.9040,-0.44,-0.9704,-1.494,-3.22,44.1440,-0.696,-1.5522,-2.102,-4.5453,45.5000,-0.26,-0.5682,-2.22,-4.6521
2015/12/10,10350440.0000,44.9420,-0.398,-0.8778,-2.154,-4.5736,45.4140,0.51,1.1358,-1.128,-2.4236,44.7280,0.584,1.3229,-1.272,-2.7652,45.6980,0.198,0.4352,-1.792,-3.7734
2015/12/11,16295570.0000,45.0480,0.106,0.2359,-1.444,-3.1059,43.4040,-2.01,-4.4259,-2.672,-5.7991,43.3280,-1.4,-3.13,-2.204,-4.8406,45.1500,-0.548,-1.1992,-1.504,-3.2237
2015/12/14,14138985.0000,43.5020,-1.546,-3.4319,-2.038,-4.4752,43.7160,0.312,0.7188,-2.51,-5.4298,42.9740,-0.354,-0.817,-2.256,-4.9878,44.1840,-0.966,-2.1395,-2.942,-6.2428
2015/12/15,11208430.0000,44.3640,0.862,1.9815,-1.14,-2.5053,44.2180,0.502,1.1483,-1.126,-2.4832,43.6000,0.626,1.4567,-1.24,-2.7654,44.4440,0.26,0.5884,-1.316,-2.8759
2015/12/16,25502215.0000,44.4200,0.056,0.1262,-0.92,-2.0291,46.9020,2.684,6.0699,1.998,4.4495,44.1460,0.546,1.2523,0.002,0.0045,46.9760,2.532,5.6971,1.476,3.244
2015/12/17,16472300.0000,46.7880,2.368,5.3309,1.846,4.1075,46.6780,-0.224,-0.4776,1.264,2.7833,45.9630,1.817,4.1159,1.235,2.7611,47.5520,0.576,1.2262,1.854,4.0571
2015/12/18,15040285.0000,46.5780,-0.21,-0.4488,1.53,3.3964,46.0920,-0.586,-1.2554,2.688,6.193,45.8580,-0.105,-0.2284,2.53,5.8392,47.1800,-0.372,-0.7823,2.03,4.4961
2015/12/21,9757905.0000,46.3380,-0.24,-0.5153,2.836,6.5192,46.5120,0.42,0.9112,2.796,6.3958,46.2160,0.358,0.7807,3.242,7.5441,47.1660,-0.014,-0.0297,2.982,6.749
2015/12/22,9794180.0000,46.9980,0.66,1.4243,2.634,5.9372,45.9900,-0.522,-1.1223,1.772,4.0074,45.9260,-0.29,-0.6275,2.326,5.3349,47.3100,0.144,0.3053,2.866,6.4486
2015/12/23,7755155.0000,46.4360,-0.562,-1.1958,2.016,4.5385,45.9400,-0.05,-0.1087,-0.962,-2.0511,45.6260,-0.3,-0.6532,1.48,3.3525,46.6900,-0.62,-1.3105,-0.286,-0.6088
2015/12/24,3551385.0000,46.1120,-0.324,-0.6977,-0.676,-1.4448,46.1140,0.174,0.3788,-0.564,-1.2083,45.6560,0.03,0.0658,-0.307,-0.6679,46.3760,-0.314,-0.6725,-1.176,-2.4731
