date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
16:00,"11,022,094",42.91,42.91,"",42.91,"",43.63,43.63,"",43.63,"",42.86,42.86,"",42.86,"",43.73,43.73,"",43.73,""
2015/11/10,16522970.0000,26.8100,-16.1,"",26.81,"",27.0500,-16.58,-38.0014,27.05,"",26.2500,-16.61,-38.7541,26.25,"",27.1700,-16.56,-37.8687,27.17,""
2015/11/11,12704290.0000,27.0800,0.27,"",27.08,"",26.5000,-0.55,-2.0333,26.5,"",26.3700,0.12,0.4571,26.37,"",27.1400,-0.03,-0.1104,27.14,""
2015/11/12,12537670.0000,26.0800,-1.0,"",26.08,"",26.1300,-0.37,-1.3962,26.13,"",25.8500,-0.52,-1.9719,25.85,"",26.6100,-0.53,-1.9528,26.61,""
2015/11/13,14258400.0000,25.8900,-0.19,"",25.89,"",25.1800,-0.95,-3.6357,25.18,"",25.1600,-0.69,-2.6692,25.16,"",26.1600,-0.45,-1.6911,26.16,""
2015/11/16,12228790.0000,25.3300,-0.56,-2.163,-17.58,-40.9695,25.4100,0.23,0.9134,-18.22,-41.7603,25.0000,-0.16,-0.6359,-17.86,-41.6706,25.7756,-0.3844,-1.4694,-17.9544,-41.0574
2015/11/17,13240470.0000,25.5400,0.21,0.8291,-1.27,-4.737,25.2300,-0.18,-0.7084,-1.82,-6.7283,24.9000,-0.1,-0.4,-1.35,-5.1429,25.6900,-0.0856,-0.3321,-1.48,-5.4472
2015/11/18,13925010.0000,25.1700,-0.37,-1.4487,-1.91,-7.0532,25.9000,0.67,2.6556,-0.6,-2.2642,25.1600,0.26,1.0442,-1.21,-4.5885,26.0901,0.4001,1.5574,-1.0499,-3.8685
2015/11/19,14203300.0000,25.9400,0.77,3.0592,-0.14,-0.5368,26.3200,0.42,1.6216,0.19,0.7271,25.9300,0.77,3.0604,0.08,0.3095,26.5800,0.4899,1.8777,-0.03,-0.1127
2015/11/20,10789390.0000,26.3200,0.38,1.4649,0.43,1.6609,26.2700,-0.05,-0.19,1.09,4.3288,26.0300,0.1,0.3857,0.87,3.4579,26.6950,0.115,0.4327,0.535,2.0451
