"date","close","volume","open","high","low"
"16:00","417.13","17,236,021","416.54","418.695","410.58"
"2020/11/10","410.3600","30284220.0000","420.0900","420.0900","396.0301"
"2020/11/09","421.2600","34833030.0000","439.5000","452.5000","421.0000"
"2020/11/06","429.9500","21706010.0000","436.1000","436.5700","424.2800"
"2020/11/05","438.0900","28414520.0000","428.3000","440.0000","424.0001"
"2020/11/04","420.9800","32143060.0000","430.6200","435.4000","417.1000"
"2020/11/03","423.9000","34351720.0000","409.7300","427.7700","406.6900"
"2020/11/02","400.5100","29021120.0000","394.0000","406.9799","392.3000"
"2020/10/30","388.0400","42587640.0000","406.8954","407.5915","379.1100"
"2020/10/29","410.8300","22655310.0000","409.9600","418.0600","406.4600"
"2020/10/28","406.0200","25451410.0000","416.4800","418.6000","406.0000"
"2020/10/27","424.6800","22686510.0000","423.7600","430.5000","420.1000"
"2020/10/26","420.2800","28239160.0000","411.6300","425.7600","410.0000"
"2020/10/23","420.6300","33716980.0000","421.8400","422.8859","407.3801"
"2020/10/22","425.7900","39993190.0000","441.9200","445.2300","424.5100"
"2020/10/21","422.6400","32370460.0000","422.7000","432.9500","421.2500"
"2020/10/20","421.9400","31656290.0000","431.7500","431.7500","419.0501"
"2020/10/19","430.8300","36287840.0000","446.2400","447.0000","428.8700"
"2020/10/16","439.6700","32775880.0000","454.4400","455.9499","438.8500"
"2020/10/15","448.8800","35672350.0000","450.3100","456.5700","442.5000"
"2020/10/14","461.3000","48045390.0000","449.7800","465.9000","447.3500"
"2020/10/13","446.6500","34463670.0000","443.3500","448.8900","436.6000"
"2020/10/12","442.3000","38791130.0000","442.0000","448.7400","438.5800"
"2020/10/09","434.0000","28925660.0000","430.1300","434.5899","426.4601"
"2020/10/08","425.9200","40421120.0000","438.4400","439.0000","425.3000"
"2020/10/07","425.3000","43127710.0000","419.8700","429.9000","413.8450"
"2020/10/06","413.9800","49146260.0000","423.7900","428.7799","406.0500"
"2020/10/05","425.6800","44722790.0000","423.3500","433.6400","419.3300"
"2020/10/02","415.0900","71430030.0000","421.3900","439.1300","415.0000"
"2020/10/01","448.1600","50741450.0000","440.7600","448.8800","434.4200"
"2020/09/30","429.0100","48145570.0000","421.3200","433.9300","420.4700"
"2020/09/29","419.0700","50341400.0000","416.0000","428.5000","411.6000"
"2020/09/28","421.2000","49719560.0000","424.6200","428.0800","415.5500"
"2020/09/25","407.3400","67208460.0000","393.4700","408.7323","391.3000"
"2020/09/24","387.7900","96561060.0000","363.8000","399.5000","351.3000"
"2020/09/23","380.3600","95074180.0000","405.1600","412.1500","375.8801"
"2020/09/22","424.2300","79580800.0000","429.6000","437.7600","417.6001"
"2020/09/21","449.3900","109476800.0000","453.1300","455.6800","407.0700"
"2020/09/18","442.1500","86406820.0000","447.9400","451.0000","428.8000"
"2020/09/17","423.4300","76779160.0000","415.6000","437.7900","408.0001"
"2020/09/16","441.7600","72546760.0000","439.8700","457.7900","435.3100"
"2020/09/15","449.7600","97298230.0000","436.5600","461.9400","430.7000"
"2020/09/14","419.6200","83020610.0000","380.9500","420.0000","373.3000"
"2020/09/11","372.7200","60717460.0000","381.9400","382.5000","360.5000"
"2020/09/10","371.3400","84930610.0000","386.2100","398.9900","360.5600"
"2020/09/09","366.2800","79465770.0000","356.6000","369.0000","341.5100"
"2020/09/08","330.2100","115465700.0000","356.0000","368.7400","329.8800"
"2020/09/04","418.3200","110321900.0000","402.8100","428.0000","372.0201"
"2020/09/03","407.0000","87596090.0000","407.2300","431.8000","402.0000"
"2020/09/02","447.3700","96176130.0000","478.9900","479.0400","405.1206"
"2020/09/01","475.0500","90119420.0000","502.1400","502.4900","470.5100"
"2020/08/31","498.3200","118374400.0000","444.6100","500.1400","440.1100"
"2020/08/28","442.6800","100405900.0000","459.0240","463.6980","437.3040"
"2020/08/27","447.7500","118465200.0000","436.0920","459.1200","428.5000"
"2020/08/26","430.6340","71196900.0000","412.0000","433.2000","410.7258"
"2020/08/25","404.6680","53294450.0000","394.9780","405.5900","393.6000"
"2020/08/24","402.8400","100318100.0000","425.2550","425.8000","385.5040"
"2020/08/21","409.9960","107447800.0000","408.9520","419.0980","405.0100"
"2020/08/20","400.3660","103059000.0000","372.1360","404.3980","371.4120"
"2020/08/19","375.7060","61026650.0000","373.0000","382.2000","368.2420"
"2020/08/18","377.4180","82372450.0000","379.7980","384.7800","369.0220"
