"date","close","volume","open","high","low"
"15:09","486.635","3,819,301","491","496.52","480.4255"
"2020/11/11","490.7600","5460532.0000","483.0000","491.6800","478.2600"
"2020/11/10","480.2400","8306142.0000","470.9500","484.6000","463.4100"
"2020/11/09","470.5000","10419680.0000","485.5400","495.8500","467.2600"
"2020/11/06","514.7300","4236349.0000","515.0000","515.2100","502.5100"
"2020/11/05","513.7600","5372781.0000","506.5600","518.7337","503.4500"
"2020/11/04","496.9500","5137330.0000","495.3600","507.7300","493.9800"
"2020/11/03","487.2200","3690213.0000","484.9300","495.3050","478.7600"
"2020/11/02","484.1200","4408193.0000","478.8700","486.3000","475.0000"
"2020/10/30","475.7400","7813897.0000","502.0100","505.8800","472.2100"
"2020/10/29","504.2100","11120690.0000","488.5000","513.8999","479.3400"
"2020/10/28","486.2400","5992731.0000","486.3600","494.0000","483.2800"
"2020/10/27","488.9300","3627175.0000","490.0100","490.4900","482.9300"
"2020/10/26","488.2400","6186087.0000","487.0250","496.8200","478.9000"
"2020/10/23","488.2800","4927862.0000","488.1100","490.0600","481.3500"
"2020/10/22","485.2300","6997922.0000","494.6900","495.1400","482.0000"
"2020/10/21","489.0500","17405710.0000","501.0300","506.8500","488.2500"
"2020/10/20","525.4200","10047180.0000","528.1400","533.7800","522.2600"
"2020/10/19","530.7200","7567506.0000","537.0700","541.8000","525.3800"
"2020/10/16","530.7900","6347363.0000","549.5000","554.3300","530.0300"
"2020/10/15","541.9400","5113126.0000","545.5200","551.2200","535.1000"
"2020/10/14","541.4500","9510081.0000","562.6100","572.4900","541.0000"
"2020/10/13","554.0900","5602498.0000","540.5600","557.6500","537.2000"
"2020/10/12","539.8100","5391074.0000","548.8100","551.8100","538.2400"
"2020/10/09","539.4400","4781259.0000","537.8340","544.2800","535.0000"
"2020/10/08","531.7900","5386488.0000","533.4800","535.0000","524.1500"
"2020/10/07","534.6600","7988683.0000","518.0000","536.4900","515.8150"
"2020/10/06","505.8700","4199034.0000","518.7200","521.8200","504.1600"
"2020/10/05","520.6500","4088069.0000","506.8000","520.9900","501.6997"
"2020/10/02","503.0600","6071165.0000","516.4300","526.3714","502.7000"
"2020/10/01","527.5100","8153710.0000","506.0300","529.5500","503.6000"
"2020/09/30","500.0300","4634111.0000","492.5700","504.6300","489.2704"
"2020/09/29","493.4800","3543193.0000","489.5000","496.2868","486.5300"
"2020/09/28","490.6500","4773497.0000","489.1090","492.0000","477.8800"
"2020/09/25","482.8800","3769436.0000","474.3900","484.8700","468.0258"
"2020/09/24","473.0800","3727201.0000","470.5300","477.0000","467.8200"
"2020/09/23","470.6100","3726423.0000","491.0400","491.0400","469.0000"
"2020/09/22","491.1700","3482324.0000","489.0100","491.8200","479.2600"
"2020/09/21","487.3500","5457539.0000","467.6920","487.7750","466.3200"
"2020/09/18","469.9600","6717711.0000","472.5100","479.4000","458.6000"
"2020/09/17","470.2000","5379301.0000","475.1600","478.4000","463.2700"
"2020/09/16","483.8600","4401412.0000","499.9900","504.6600","483.3100"
"2020/09/15","495.9900","5336992.0000","484.0000","497.4700","481.6300"
"2020/09/14","476.2600","7359126.0000","480.6200","488.9900","471.3001"
"2020/09/11","482.0300","5035200.0000","486.4850","493.7300","476.8100"
"2020/09/10","480.6700","6240181.0000","503.3500","506.2900","478.8400"
"2020/09/09","500.1900","6848127.0000","519.2100","520.0000","492.5743"
"2020/09/08","507.0200","5572684.0000","498.4000","522.0000","495.0000"
"2020/09/04","516.0500","8270118.0000","520.1800","527.3600","485.9800"
"2020/09/03","525.7500","9071089.0000","545.0000","554.0000","521.3200"
"2020/09/02","552.8400","5886930.0000","553.7800","556.5000","537.3690"
"2020/09/01","556.5500","9581907.0000","532.6000","557.3895","532.4500"
"2020/08/31","529.5600","4941409.0000","521.1600","531.9900","517.5800"
"2020/08/28","523.8900","4417517.0000","532.0000","539.0000","522.0000"
"2020/08/27","526.2700","9062912.0000","537.7750","541.0000","521.2471"
"2020/08/26","547.5300","20373680.0000","492.5000","549.0400","492.0750"
"2020/08/25","490.5800","5727721.0000","488.1900","492.4700","485.0900"
"2020/08/24","488.8100","4762183.0000","495.4380","501.0000","483.1600"
"2020/08/21","492.3100","3921293.0000","496.4600","498.1300","490.0000"
"2020/08/20","497.9000","5132480.0000","484.6900","498.9400","483.8900"
"2020/08/19","484.5300","3156218.0000","493.9300","494.4985","483.5000"
"2020/08/18","491.8700","3505518.0000","484.3500","495.3000","482.8000"
"2020/08/17","482.3500","2423545.0000","484.1900","486.2400","479.1000"
"2020/08/14","482.6800","2943487.0000","482.8200","488.3250","480.2100"
"2020/08/13","481.3300","3008933.0000","478.4000","484.4500","476.4500"
"2020/08/12","475.4700","5441243.0000","471.3400","482.4900","470.1800"
"2020/08/11","466.9300","7329226.0000","479.7500","480.9200","466.5500"
"2020/08/10","483.3800","4691185.0000","493.3500","497.4584","478.6269"
"2020/08/07","494.7300","5910348.0000","505.4500","508.2900","486.6800"
"2020/08/06","509.0800","3725861.0000","504.1100","510.8200","498.7000"
"2020/08/05","502.1100","4313526.0000","508.6800","510.1021","501.2000"
"2020/08/04","509.6400","5607968.0000","498.6500","510.4436","498.6500"
"2020/08/03","498.6200","5876190.0000","490.8600","503.0900","490.2300"
"2020/07/31","488.8800","5924310.0000","488.2900","494.8000","484.5000"
"2020/07/30","485.8000","6608569.0000","480.7072","488.3500","477.5101"
"2020/07/29","484.4800","6611769.0000","492.2500","494.9200","484.1300"
"2020/07/28","488.5100","5986727.0000","496.0200","497.7927","487.7601"
"2020/07/27","495.6500","7863069.0000","484.5100","496.9200","482.3100"
"2020/07/24","480.4500","7746247.0000","468.7700","487.1700","467.5400"
"2020/07/23","477.5800","7722034.0000","491.1300","491.9000","472.0201"
"2020/07/22","489.8200","6954078.0000","492.1900","497.2000","487.2000"
"2020/07/21","490.1000","9127218.0000","506.0000","506.2200","488.6100"
"2020/07/20","502.4100","11940310.0000","489.1400","504.5000","484.2001"
"2020/07/17","492.9900","24991350.0000","494.8700","503.5900","484.1400"
"2020/07/16","527.3900","24498990.0000","526.4800","535.5400","504.3627"
"2020/07/15","523.2600","10066650.0000","516.3000","529.0000","510.1800"
"2020/07/14","524.8800","15083300.0000","517.0800","525.5000","490.4900"
"2020/07/13","525.5000","18399020.0000","567.9800","575.3700","520.9600"
"2020/07/10","548.7300","21605590.0000","519.7300","555.8799","511.2800"
"2020/07/09","507.7600","5840541.0000","508.4000","510.0000","495.7800"
"2020/07/08","502.7800","5691682.0000","498.5760","505.1000","493.8100"
"2020/07/07","493.1600","5669870.0000","497.3110","504.8200","490.8300"
"2020/07/06","493.8100","7838990.0000","480.7700","499.5000","479.8000"
"2020/07/02","476.8900","6351485.0000","485.6400","492.2800","475.5258"
"2020/07/01","485.6400","9705870.0000","454.0000","488.2300","454.0000"
"2020/06/30","455.0400","4198545.0000","450.0200","457.5900","447.0000"
"2020/06/29","447.2400","4843978.0000","445.2300","447.6700","432.1400"
"2020/06/26","443.4000","6804726.0000","466.3900","468.0300","442.2400"
"2020/06/25","465.9100","4134513.0000","458.8600","467.0100","454.0000"
"2020/06/24","457.8500","4826191.0000","468.5400","472.3600","454.0000"
"2020/06/23","466.2600","5948436.0000","466.5000","474.0100","464.5000"
"2020/06/22","468.0400","6272105.0000","455.0100","468.5900","454.2100"
"2020/06/19","453.7200","5933651.0000","449.1200","453.9700","445.6000"
"2020/06/18","449.8700","4277627.0000","448.7300","452.7600","442.8000"
"2020/06/17","447.7700","6529568.0000","441.8200","450.4600","439.2200"
"2020/06/16","436.1300","5514016.0000","425.7600","437.9600","425.1800"
"2020/06/15","425.5000","4471499.0000","421.4000","426.4900","415.4238"
"2020/06/12","418.0700","6461127.0000","429.0000","434.0600","412.4500"
"2020/06/11","425.5600","7462868.0000","428.2000","445.5700","424.1601"
"2020/06/10","434.4800","4896893.0000","436.0000","439.6900","430.5500"
"2020/06/09","434.0500","6796999.0000","421.6500","434.7300","420.3100"
"2020/06/08","419.4900","5851453.0000","416.0000","420.8000","406.5000"
"2020/06/05","419.6000","5099561.0000","407.2900","420.2392","404.2500"
"2020/06/04","414.3300","5410529.0000","422.3900","428.7100","410.0300"
"2020/06/03","421.9700","4316044.0000","426.9500","427.1000","418.0500"
"2020/06/02","427.3100","3494801.0000","425.8700","427.5900","419.4600"
"2020/06/01","425.9200","3748573.0000","418.8300","426.7200","415.9800"
"2020/05/29","419.7300","5270484.0000","417.4600","420.2950","411.8500"
"2020/05/28","413.4400","5660160.0000","417.2400","422.3717","411.5000"
"2020/05/27","419.8900","10446340.0000","410.3800","420.0200","397.8600"
"2020/05/26","414.7700","7881115.0000","427.7700","428.5000","413.1400"
"2020/05/22","429.3200","5422334.0000","437.0000","439.0900","427.1800"
"2020/05/21","436.2500","9117325.0000","448.5600","448.9600","430.2500"
"2020/05/20","447.6700","5607257.0000","454.2500","455.8100","444.0000"
"2020/05/19","451.0400","4810487.0000","453.3970","458.9700","450.4650"
"2020/05/18","452.5800","7780309.0000","451.1600","456.3600","443.3500"
"2020/05/15","454.1900","7243998.0000","440.7000","455.0000","437.5100"
"2020/05/14","441.9500","9007467.0000","444.9000","452.3800","432.8200"
"2020/05/13","438.2700","7014563.0000","435.6900","447.0000","427.2700"
"2020/05/12","431.8200","4598211.0000","442.0000","444.1700","431.3600"
"2020/05/11","440.5200","5486037.0000","436.3300","444.8899","435.5600"
