date,volume,open,open_difference_daily,open_difference_weekly,close,close_difference_daily,close_difference_weekly,low,low_difference_daily,low_difference_weekly,high,high_difference_daily,high_difference_weekly
16:00,"11,022,334",42.91,42.91,42.91,43.63,43.63,43.63,42.86,42.86,42.86,43.73,43.73,43.73
2015/11/10,16522970.0000,26.8100,-16.1,26.81,27.0500,-16.58,27.05,26.2500,-16.61,26.25,27.1700,-16.56,27.17
2015/11/11,12704290.0000,27.0800,0.27,27.08,26.5000,-0.55,26.5,26.3700,0.12,26.37,27.1400,-0.03,27.14
2015/11/12,12537670.0000,26.0800,-1.0,26.08,26.1300,-0.37,26.13,25.8500,-0.52,25.85,26.6100,-0.53,26.61
2015/11/13,14258400.0000,25.8900,-0.19,25.89,25.1800,-0.95,25.18,25.1600,-0.69,25.16,26.1600,-0.45,26.16
2015/11/16,12228790.0000,25.3300,-0.56,25.33,25.4100,0.23,25.41,25.0000,-0.16,25.0,25.7756,-0.3844,25.7756
2015/11/17,13240470.0000,25.5400,0.21,25.54,25.2300,-0.18,25.23,24.9000,-0.1,24.9,25.6900,-0.0856,25.69
2015/11/18,13925010.0000,25.1700,-0.37,-17.74,25.9000,0.67,-17.73,25.1600,0.26,-17.7,26.0901,0.4001,-17.6399
2015/11/19,14203300.0000,25.9400,0.77,-0.87,26.3200,0.42,-0.73,25.9300,0.77,-0.32,26.5800,0.4899,-0.59
2015/11/20,10789390.0000,26.3200,0.38,-0.76,26.2700,-0.05,-0.23,26.0300,0.1,-0.34,26.6950,0.115,-0.445
2015/11/23,18126140.0000,26.1100,-0.21,0.03,25.2000,-1.07,-0.93,25.0200,-1.01,-0.83,26.2700,-0.425,-0.34
2015/11/24,10370290.0000,25.1700,-0.94,-0.72,25.5200,0.32,0.34,25.0200,0.0,-0.14,25.5500,-0.72,-0.61
2015/11/25,13047940.0000,25.6200,0.45,0.29,26.0600,0.54,0.65,25.5900,0.57,0.59,26.4099,0.8599,0.6343
2015/11/27,4179967.0000,25.9800,0.36,0.44,25.7500,-0.31,0.52,25.6700,0.08,0.77,26.0700,-0.3399,0.38
2015/11/30,17597560.0000,25.7800,-0.2,0.61,25.4000,-0.35,-0.5,25.0600,-0.61,-0.1,25.8200,-0.25,-0.2701
