date,volume,open,open_difference_daily,open_difference_weekly,close,close_difference_daily,close_difference_weekly,low,low_difference_daily,low_difference_weekly,high,high_difference_daily,high_difference_weekly
2015/11/09,19230895.0000,46.5980,46.598,46.598,45.0660,45.066,45.066,44.8620,44.862,44.862,46.5980,46.598,46.598
2015/11/10,23062040.0000,44.6960,-1.902,44.696,43.3000,-1.766,43.3,43.2160,-1.646,43.216,44.7400,-1.858,44.74
2015/11/11,16687505.0000,43.5540,-1.142,43.554,43.8160,0.516,43.816,42.7260,-0.49,42.726,43.8960,-0.844,43.896
2015/11/12,14567555.0000,43.5700,0.016,43.57,42.5880,-1.228,42.588,42.5320,-0.194,42.532,43.8000,-0.096,43.8
2015/11/13,17115695.0000,42.5900,-0.98,42.59,41.4380,-1.15,41.438,41.3040,-1.228,41.304,42.5980,-1.202,42.598
2015/11/16,14601810.0000,41.2180,-1.372,41.218,42.8620,1.424,42.862,41.1600,-0.144,41.16,42.9960,0.398,42.996
2015/11/17,10741630.0000,43.0400,1.822,43.04,42.8000,-0.062,42.8,42.2800,1.12,42.28,43.2000,0.204,43.2
2015/11/18,14051000.0000,42.9000,-0.14,-3.698,44.2140,1.414,-0.852,42.5040,0.224,-2.358,44.2760,1.076,-2.322
2015/11/19,12497965.0000,44.1080,1.208,-0.588,44.3600,0.146,1.06,44.0600,1.556,0.844,45.2380,0.962,0.498
2015/11/20,21970995.0000,44.6980,0.59,1.144,44.0020,-0.358,0.186,42.7160,-1.344,-0.01,45.0000,-0.238,1.104
2015/11/23,12625980.0000,43.4700,-1.228,-0.1,43.5500,-0.452,0.962,42.9360,0.22,0.404,43.8360,-1.164,0.036
2015/11/24,12391945.0000,43.0740,-0.396,0.484,43.6500,0.1,2.212,43.0000,0.064,1.696,44.2000,0.364,1.602
2015/11/25,19934725.0000,44.2680,1.194,3.05,45.9280,2.278,3.066,44.0750,1.075,2.915,46.1650,1.965,3.169
2015/11/27,9746765.0000,46.2120,1.944,3.172,46.3220,0.394,3.522,45.4020,1.327,3.122,46.4500,0.285,3.25
2015/11/30,12956025.0000,46.3580,0.146,3.458,46.0520,-0.27,1.838,45.8160,0.414,3.312,46.8560,0.406,2.58
2015/12/01,18642810.0000,46.2120,-0.146,2.104,47.4380,1.386,3.078,46.2100,0.394,2.15,47.6000,0.744,2.362
2015/12/02,14903220.0000,47.4000,1.188,2.702,46.3980,-1.04,2.396,46.2460,0.036,3.53,47.7200,0.12,2.72
2015/12/03,14686165.0000,47.0960,-0.304,3.626,46.5420,0.144,2.992,46.0000,-0.246,3.064,47.4900,-0.23,3.654
2015/12/04,12860070.0000,46.4920,-0.604,3.418,46.0760,-0.466,2.426,45.5320,-0.468,2.532,46.6540,-0.836,2.454
2015/12/07,15704320.0000,45.5400,-0.952,1.272,46.2260,0.15,0.298,45.2300,-0.302,1.155,47.1260,0.472,0.961
2015/12/08,13411295.0000,45.5040,-0.036,-0.708,45.3440,-0.882,-0.978,44.8400,-0.39,-0.562,45.7600,-1.366,-0.69
2015/12/09,15285180.0000,45.3400,-0.164,-1.018,44.9040,-0.44,-1.148,44.1440,-0.696,-1.672,45.5000,-0.26,-1.356
2015/12/10,10350440.0000,44.9420,-0.398,-1.27,45.4140,0.51,-2.024,44.7280,0.584,-1.482,45.6980,0.198,-1.902
2015/12/11,16295570.0000,45.0480,0.106,-2.352,43.4040,-2.01,-2.994,43.3280,-1.4,-2.918,45.1500,-0.548,-2.57
2015/12/14,14138985.0000,43.5020,-1.546,-3.594,43.7160,0.312,-2.826,42.9740,-0.354,-3.026,44.1840,-0.966,-3.306
2015/12/15,11208430.0000,44.3640,0.862,-2.128,44.2180,0.502,-1.858,43.6000,0.626,-1.932,44.4440,0.26,-2.21
2015/12/16,25502215.0000,44.4200,0.056,-1.12,46.9020,2.684,0.676,44.1460,0.546,-1.084,46.9760,2.532,-0.15
2015/12/17,16472300.0000,46.7880,2.368,1.284,46.6780,-0.224,1.334,45.9630,1.817,1.123,47.5520,0.576,1.792
2015/12/18,15040285.0000,46.5780,-0.21,1.238,46.0920,-0.586,1.188,45.8580,-0.105,1.714,47.1800,-0.372,1.68
2015/12/21,9757905.0000,46.3380,-0.24,1.396,46.5120,0.42,1.098,46.2160,0.358,1.488,47.1660,-0.014,1.468
2015/12/22,9794180.0000,46.9980,0.66,1.95,45.9900,-0.522,2.586,45.9260,-0.29,2.598,47.3100,0.144,2.16
2015/12/23,7755155.0000,46.4360,-0.562,2.934,45.9400,-0.05,2.224,45.6260,-0.3,2.652,46.6900,-0.62,2.506
2015/12/24,3551385.0000,46.1120,-0.324,1.748,46.1140,0.174,1.896,45.6560,0.03,2.056,46.3760,-0.314,1.932
2015/12/28,9500855.0000,46.2980,0.186,1.878,45.7900,-0.324,-1.112,45.1080,-0.548,0.962,46.3960,0.02,-0.58
2015/12/29,12012190.0000,46.0120,-0.286,-0.776,47.4380,1.648,0.76,45.9094,0.8014,-0.0536,47.5440,1.148,-0.008
2015/12/30,18472240.0000,47.3200,1.308,0.742,47.6180,0.18,1.526,47.1341,1.2247,1.2761,48.7268,1.1828,1.5468
2015/12/31,13569085.0000,47.7020,0.382,1.364,48.0020,0.384,1.49,47.6740,0.5399,1.458,48.6900,-0.0368,1.524
2016/01/04,34117550.0000,46.1440,-1.558,-0.854,44.6820,-3.32,-1.308,43.8000,-3.874,-2.126,46.2760,-2.414,-1.034
2016/01/05,15927625.0000,45.2720,-0.872,-1.164,44.6860,0.004,-1.254,44.0000,0.2,-1.626,45.3780,-0.898,-1.312
2016/01/06,18871765.0000,44.0000,-1.272,-2.112,43.8080,-0.878,-2.306,43.1960,-0.804,-2.46,44.0100,-1.368,-2.366
