"date","close","volume","open","high","low"
"16:00","3,110.28","4,359,517","3,158","3,175.88","3,086.05"
"2020/11/11","3137.3900","4366923.0000","3061.7800","3139.1450","3050.0000"
"2020/11/10","3035.0200","6590956.0000","3095.0200","3114.0000","3019.4828"
"2020/11/09","3143.7400","7190406.0000","3231.0300","3289.0000","3112.1057"
"2020/11/06","3311.3700","4647330.0000","3304.6400","3322.0000","3232.0000"
"2020/11/05","3322.0000","5789285.0000","3319.9700","3366.8000","3288.8800"
"2020/11/04","3241.1600","6839041.0000","3159.9900","3244.8500","3139.7300"
"2020/11/03","3048.4100","4897880.0000","3018.5300","3074.9000","2980.9800"
"2020/11/02","3004.4800","7257350.0000","3061.7400","3079.7050","2950.1200"
"2020/10/30","3036.1500","8396081.0000","3157.7500","3167.0040","3019.0000"
"2020/10/29","3211.0100","6596529.0000","3201.2700","3257.2500","3164.0000"
"2020/10/28","3162.7800","5588330.0000","3249.3000","3264.0200","3162.4700"
"2020/10/27","3286.3300","4291047.0000","3224.9400","3291.6600","3211.3000"
"2020/10/26","3207.0400","5901151.0000","3198.7400","3282.9799","3153.3000"
"2020/10/23","3204.4000","3466687.0000","3191.0000","3205.3300","3140.0000"
"2020/10/22","3176.4000","4212005.0000","3189.8700","3198.7500","3121.9400"
"2020/10/21","3184.9400","4592736.0000","3212.5000","3233.8750","3160.0000"
"2020/10/20","3217.0100","4509678.0000","3222.2800","3266.0000","3192.0100"
"2020/10/19","3207.2100","5223626.0000","3299.6100","3329.0000","3192.7350"
"2020/10/16","3272.7100","6474353.0000","3363.2300","3399.6606","3160.0000"
"2020/10/15","3338.6500","5223448.0000","3292.0100","3355.8800","3280.0000"
"2020/10/14","3363.7100","5828916.0000","3447.0000","3464.8800","3340.0000"
"2020/10/13","3443.6300","5744697.0000","3467.9900","3492.3800","3424.2170"
"2020/10/12","3442.9300","8364198.0000","3349.9400","3496.2400","3339.5500"
"2020/10/09","3286.6500","4907871.0000","3210.0000","3288.9900","3197.8300"
"2020/10/08","3190.5500","3174114.0000","3224.9900","3233.2944","3174.9900"
"2020/10/07","3195.6900","4309439.0000","3135.0000","3200.0000","3132.3850"
"2020/10/06","3099.9600","5086857.0000","3165.0000","3182.0000","3090.0000"
"2020/10/05","3199.2000","3775332.0000","3145.8400","3202.5300","3140.8500"
"2020/10/02","3125.0000","5613098.0000","3153.6300","3195.7965","3123.0000"
"2020/10/01","3221.2600","4971922.0000","3208.0000","3224.0000","3172.0000"
"2020/09/30","3148.7300","4896101.0000","3141.1400","3212.8800","3133.9900"
"2020/09/29","3144.8800","3503398.0000","3175.3900","3188.2600","3132.5400"
"2020/09/28","3174.0500","4224165.0000","3148.8500","3175.0400","3117.1684"
"2020/09/25","3095.1300","4615202.0000","3054.8600","3101.5400","2999.0000"
"2020/09/24","3019.7900","5529392.0000","2977.7900","3069.3000","2965.0000"
"2020/09/23","2999.8600","5652665.0000","3120.4300","3126.9990","2992.3759"
"2020/09/22","3128.9900","6948816.0000","3033.8350","3133.9900","3000.2000"
"2020/09/21","2960.4700","6117925.0000","2906.5000","2962.0000","2871.0000"
"2020/09/18","2954.9100","8892580.0000","3031.7400","3037.8000","2905.5400"
"2020/09/17","3008.7300","6449050.0000","3009.2500","3029.4320","2972.5500"
"2020/09/16","3078.1000","4531189.0000","3179.9900","3187.2380","3074.1500"
"2020/09/15","3156.1300","4021535.0000","3136.1600","3175.0200","3108.9200"
"2020/09/14","3102.9700","4529596.0000","3172.9370","3187.3900","3096.0000"
"2020/09/11","3116.2200","5093982.0000","3208.6900","3217.3409","3083.9800"
"2020/09/10","3175.1100","5330741.0000","3307.2190","3349.8900","3170.5500"
"2020/09/09","3268.6100","5188675.0000","3202.9900","3303.1750","3185.0000"
"2020/09/08","3149.8400","6094205.0000","3144.0000","3250.8450","3130.0000"
"2020/09/04","3294.6200","8781754.0000","3318.0000","3381.5000","3111.1300"
"2020/09/03","3368.0000","8161113.0000","3485.0000","3488.4100","3303.0000"
"2020/09/02","3531.4500","3931476.0000","3547.0000","3552.2500","3486.6850"
"2020/09/01","3499.1200","3476407.0000","3489.5800","3513.8700","3467.0000"
"2020/08/31","3450.9600","4185885.0000","3408.9900","3495.0000","3405.0000"
"2020/08/28","3401.8000","2896978.0000","3423.0000","3433.3699","3386.5000"
"2020/08/27","3400.0000","4264795.0000","3450.0500","3453.0000","3378.0000"
"2020/08/26","3441.8500","6508743.0000","3351.1100","3451.7387","3344.5675"
"2020/08/25","3346.4900","3992842.0000","3294.9900","3357.4000","3267.0000"
"2020/08/24","3307.4600","4666258.0000","3310.1500","3380.3150","3257.5608"
"2020/08/21","3284.7200","3575862.0000","3295.0000","3314.3962","3275.3900"
"2020/08/20","3297.3700","3332478.0000","3252.0000","3312.6200","3238.0000"
"2020/08/19","3260.4800","4185137.0000","3303.0100","3315.9000","3256.0001"
"2020/08/18","3312.4900","5345974.0000","3212.0000","3320.0000","3205.8187"
"2020/08/17","3182.4100","2691237.0000","3173.1200","3194.9700","3154.1775"
"2020/08/14","3148.0200","2751723.0000","3178.1800","3178.2357","3120.0000"
"2020/08/13","3161.0200","3149043.0000","3182.9900","3217.5211","3155.0000"
"2020/08/12","3162.2400","3527229.0000","3108.0000","3174.3850","3101.4200"
"2020/08/11","3080.6700","3718057.0000","3113.2000","3159.2200","3073.0000"
"2020/08/10","3148.1600","3167274.0000","3170.3100","3172.5100","3101.5200"
"2020/08/07","3167.4600","3936127.0000","3224.0100","3240.8100","3140.6726"
"2020/08/06","3225.0000","3940602.0000","3194.3600","3247.4700","3165.4300"
"2020/08/05","3205.0300","3930025.0000","3143.7700","3213.5859","3127.3000"
"2020/08/04","3138.8300","4694294.0000","3101.2100","3167.2400","3101.2100"
"2020/08/03","3111.8900","5074663.0000","3180.5100","3184.0000","3104.0000"
"2020/07/31","3164.6800","8083369.0000","3244.0000","3246.8200","3151.0000"
"2020/07/30","3051.8800","6128265.0000","3014.0000","3092.0000","3005.0000"
"2020/07/29","3033.5300","2974060.0000","3030.9900","3039.1592","2996.7700"
"2020/07/28","3000.3300","3126651.0000","3054.2700","3077.0926","2995.7600"
"2020/07/27","3055.2100","4170492.0000","3062.0000","3098.0000","3015.7700"
"2020/07/24","3008.9100","5632413.0000","2930.0000","3031.5800","2888.0000"
"2020/07/23","2986.5500","5656906.0000","3098.2713","3098.2713","2970.0000"
"2020/07/22","3099.9100","4104225.0000","3125.0000","3149.9999","3065.2600"
"2020/07/21","3138.2900","6134965.0000","3232.4900","3240.5758","3105.7200"
"2020/07/20","3196.8400","7598176.0000","3000.2000","3201.3599","2994.0172"
"2020/07/17","2961.9700","4761319.0000","3009.0000","3024.0000","2948.4500"
"2020/07/16","2999.9000","6394246.0000","2971.0600","3032.0000","2918.2300"
"2020/07/15","3008.8700","5788874.0000","3080.2300","3098.3500","2973.1801"
"2020/07/14","3084.0000","7231933.0000","3089.0000","3127.3800","2950.0000"
"2020/07/13","3104.0000","7720420.0000","3251.0600","3344.2900","3068.3901"
"2020/07/10","3200.0000","5485982.0000","3191.7600","3215.0000","3135.7000"
"2020/07/09","3182.6300","6388659.0000","3115.9900","3193.8799","3074.0016"
"2020/07/08","3081.1100","5037635.0000","3022.6100","3083.9700","3012.4301"
"2020/07/07","3000.1200","5257514.0000","3058.5500","3069.5500","2990.0000"
